term,estimate,std.error,statistic,p.value,conf.low,conf.high,significant
(Intercept),11.532488485831646,0.23226881989771545,49.65147061456731,0,11.076994492109556,11.987982479553736,TRUE
treecanopy_pct,-0.22184870809264778,0.008052824269193114,-27.54918034674521,2.0351725008857095e-143,-0.23764081091872766,-0.2060566052665679,TRUE
pctpoc_pct,0.029304614363814176,0.002813528290536824,10.415610343204628,8.067458813895677e-25,0.0237871056509742,0.03482212307665415,TRUE
pctpov_pct,-0.02833756726209761,0.003988977999523093,-7.103966796880188,1.6396316095118889e-12,-0.03616020794487399,-0.020514926579321226,TRUE
unempl_pct,-0.022045935396155694,0.007036100582562404,-3.1332604100049712,0.00175197524104495,-0.03584417812194654,-0.008247692670364844,TRUE
