GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
170010004002,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1267,934.0,0.6486,Forest,Google,0.5,0.2802,0.2198,0.472863232598007,0.150963597430407,0.341817095233109,0.701583434835566,0.789581553182577,0.080924855491329,0.427449236697791,0.610344827586207,0.379014989293362,0.201964105666465,0.0,0.0,0.835111662531017,0.74,0.304123711340206,71,78.0,,0.159528907922912,0.21948608137045,Yes,33.0,42,,,,,,,,,
170010004003,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1083,1052.0,0.9008,Forest,Google,0.5,0.2342,0.2658,0.488082270380024,0.35171102661597,0.806447527875916,0.689163498098859,0.775176785783089,0.01010101010101,0.053354053354053,0.606106870229008,0.377376425855513,0.19953037810812,0.0,0.0,0.835111662531017,1.78,0.348797250859106,64,78.0,,0.262357414448669,0.115019011406844,Yes,39.0,42,,,,,,,,,
170010004004,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,415,230.0,0.6962,Forest,Google,0.5,0.3306,0.1694,0.464780195041478,0.021739130434783,0.042726739497031,0.736842105263158,0.830474913357559,0.0,0.0,2.066666666666667,0.673913043478261,1.0,0.0,0.0,0.835111662531017,-3.34,0.128865979381443,78,78.0,,0.065217391304348,0.608695652173913,Yes,26.0,42,,,,,,,,,
170010005001,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1073,1193.0,0.6848,Forest,Google,0.5,0.2245,0.2755,0.366321547931147,0.062866722548198,0.137916655476225,0.436594202898551,0.482244379866689,0.054054054054054,0.285516285516285,0.682651622002821,0.405699916177703,0.243487656612146,0.0,0.0,0.551520372416957,2.29,0.370704467353952,72,78.0,,0.236378876781224,0.169321039396479,Yes,32.0,42,,,,,,,,,
170010005002,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,646,798.0,0.5778,Forest,Google,0.5,0.134,0.366,0.47680750580154,0.273182957393484,0.624694113022861,0.505564387917329,0.56223669333467,0.072519083969466,0.3830495204541,0.605633802816901,0.37719298245614,0.199258710155671,0.0,0.0,0.551520372416957,7.86,0.609965635738832,52,78.0,,0.157894736842105,0.219298245614035,Yes,42.0,42,,,,,,,,,
170010006001,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,896,864.0,0.8542,Forest,Google,0.5,0.3633,0.1367,0.297756607473763,0.084490740740741,0.187965500281057,0.1564039408867,0.157276899158538,0.024258760107817,0.128136014928468,1.107317073170732,0.525462962962963,0.487359863072315,0.0,0.0,0.168433961674,3.18,0.40893470790378,88,78.0,,0.328703703703704,0.196759259259259,,5.0,42,,,,,,,,,
170010006002,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,759,1029.0,0.4427,Forest,Google,0.4,0.2259,0.1741,0.315057170522387,0.070942662779397,0.156608439569516,0.194363459669582,0.201302730389051,0.087719298245614,0.463337831758884,0.563829787234043,0.360544217687075,0.17525195968645,0.0,0.0,0.168433961674,5.48,0.507731958762887,85,78.0,,0.159378036929057,0.201166180758017,,13.0,42,,,,,,,,,
170010006003,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,669,966.0,0.4488,Forest,Google,0.5,0.2081,0.2919,0.272843646422185,0.060041407867495,0.131377457501074,0.409937888198758,0.451328118285161,0.0,0.0,0.472560975609756,0.320910973084886,0.122839109970047,0.0,0.0,0.168433961674,4.61,0.470360824742268,78,78.0,,0.18944099378882,0.131469979296066,,26.0,42,,,,,,,,,
170010006004,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,613,871.0,0.4865,Forest,Google,0.4,0.3499,0.0501,0.237275232861665,0.028702640642939,0.058843801488084,0.175660160734788,0.17961045638877,0.040983606557377,0.216477511559479,0.486348122866894,0.327210103329506,0.130756641318883,0.0,0.0,0.168433961674,0.96,0.313573883161512,96,78.0,,0.266360505166475,0.060849598163031,,2.0,42,,,,,,,,,
170010006005,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,653,671.0,0.4981,Forest,Google,0.5,0.3716,0.1284,0.263992062393966,0.110283159463487,0.24766211865706,0.125186289120715,0.121070353023872,0.038288288288288,0.202240702240702,0.582547169811321,0.368107302533532,0.18600077237118,0.0,0.0,0.168433961674,1.81,0.350085910652921,90,78.0,,0.228017883755589,0.140089418777943,,4.0,42,,,,,,,,,
